country_pair_cat,year,ln_fdi_instock,l_ln_origin_gdp_pc,l_ln_host_gdp_pc,l_ln_origin_pop,l_ln_host_pop,log_dist,l_origin_social_protect_gdp,l_host_social_protect_gdp
AUT_BEL,2007,2.6242204,10.567525,10.612392,16.171442,15.92798,6.8183374,16.99038459,19.85819445
AUT_BEL,2008,3.1480613,10.701079,10.754829,16.178785,15.931222,6.8183374,16.74554411,19.40548895
AUT_BEL,2009,3.248968,10.787763,10.853383,16.186686,15.934353,6.8183374,17.4034502,19.58206629
AUT_BEL,2010,3.103408,10.7117605,10.778189,16.194733,15.936972,6.8183374,19.09745657,21.23554083
AUT_BEL,2011,3.1122146,10.700548,10.754878,16.203869,15.939376,6.8183374,18.79569981,21.39940439
AUT_BEL,2012,3.1481655,10.773604,10.846906,16.216879,15.942747,6.8183374,18.9746958,20.69431497
AUT_CHE,2004,3.9444067,10.780779,10.380432,15.808713,15.910016,6.5292544,13.12021639,20.97219299
AUT_CHE,2005,4.1009097,10.884444,10.513838,15.815588,15.91622,6.5292544,13.11823211,20.56136148
AUT_CHE,2006,4.363182,10.9142275,10.555894,15.821994,15.923033,6.5292544,12.95402562,20.23215577
AUT_CHE,2007,4.7127256,10.960922,10.612392,15.828269,15.92798,6.5292544,12.24180243,19.85819445
AUT_CHE,2008,4.540776,11.059665,10.754829,15.837206,15.931222,6.5292544,11.74385063,19.40548895
AUT_CHE,2009,4.7283907,11.1911745,10.853383,15.849913,15.934353,6.5292544,11.25197574,19.58206629
AUT_CHE,2010,4.839566,11.155213,10.778189,15.862407,15.936972,6.5292544,12.41128373,21.23554083
AUT_CHE,2011,4.7581806,11.219973,10.754878,15.872823,15.939376,6.5292544,12.39737421,21.39940439
AUT_CHE,2012,4.6800647,11.389804,10.846906,15.883942,15.942747,6.5292544,12.25653634,20.69431497
AUT_CHN,2012,2.181278,8.633755,10.846906,21.019012,15.942747,8.918385,6.443186193,20.69431497
AUT_CYP,2005,0.5339623,10.07713,10.513838,13.825865,15.91622,7.609837,10.37138073,20.56136148
AUT_CYP,2006,2.410105,10.125,10.555894,13.842797,15.923033,7.609837,11.0414713,20.23215577
AUT_CYP,2007,3.3130372,10.193517,10.612392,13.860012,15.92798,7.609837,10.58848529,19.85819445
AUT_CYP,2008,2.0378566,10.349612,10.754829,13.877276,15.931222,7.609837,9.979099568,19.40548895
AUT_CYP,2009,2.396885,10.474214,10.853383,13.893918,15.934353,7.609837,10.21408916,19.58206629
AUT_CYP,2010,2.7042146,10.376794,10.778189,13.909077,15.936972,7.609837,11.54196299,21.23554083
AUT_CYP,2011,2.4228058,10.33587,10.754878,13.922221,15.939376,7.609837,12.2028945,21.39940439
AUT_CYP,2012,2.5718648,10.380766,10.846906,13.9331455,15.942747,7.609837,12.64260627,20.69431497
AUT_CZE,2011,-2.187352,9.893845,10.754878,16.164446,15.939376,5.5312047,13.21894659,21.39940439
AUT_CZE,2012,-0.8018756,9.985871,10.846906,16.166513,15.942747,5.5312047,13.20484263,20.69431497
